Request Number,Date Opened,Request ,Description,Incident Address,Zip Code,Trash Hauler,Trash Route,Council District,State Plan X,State Plan Y,LONGITUDE,LATITUDE
25270,11/01/17,Trash - Backdoor,"house with the wheel chair ramp, they share driveway, in back driveway. 3817 Crouch Dr near NES light post is. 
615-876-6274",3817 Crouch Dr,37207.0,RED RIVER,3205,2.0,1727970.41206786,686779.478088711,-86.81539225695009,36.21729166462035
25274,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/Trash miss Tuesday.,4028 Clarksville Pike,37218.0,RED RIVER,4202,1.0,1721259.36568104,685444.799565154,-86.8381027765262,36.21346977420976
25276,11/01/17,Trash - Curbside/Alley Missed Pickup,Curb/trash miss Tuesday.,6528 Thunderbird Dr,37209.0,RED RIVER,4205,20.0,1707026.75348931,659887.471571312,-86.88556239567947,36.14292283452863
25307,11/01/17,Trash - Curbside/Alley Missed Pickup,missed,2603 old matthews rd,37207.0,WASTE IND,2206,2.0,1735691.77097349,685027.245922773,-86.78917020431646,36.21265240516559
25312,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed the even side of the road.,604 croley dr,37209.0,RED RIVER,4203,20.0,1710185.77229504,664205.101065545,-86.8749946809172,36.15486092674243
25317,11/01/17,Trash Collection Complaint,left trash cart in middle of driveway instead of at the backdoor pickup spot,3602 floral dr,37211.0,RED RIVER,4304,16.0,1751660.16380723,643215.201072899,-86.73397992699346,36.09813982734352
25325,11/01/17,Damage to Property,"Trash/emptied Wednesday & now metal black-mailbox damage. 
customer wants call back and fix and replace.",4721 Chalmers Dr,37215.0,RED RIVER,3303,34.0,1726300.96525064,637078.402244506,-86.81964036523574,36.08072939746875
25327,11/01/17,Trash Collection Complaint,"Trash out on time, miss again Tuesday. ALLEY",1816 Jo Johnston Ave,37203.0,METRO,9208,21.0,1731459.36691767,666013.601228506,-86.80298770606484,36.16032964747676
25330,11/01/17,Trash - Curbside/Alley Missed Pickup,Missed.,4484 Lavergne Couchville Pike,37013.0,RED RIVER,4210,33.0,1794533.51380932,618749.342732322,-86.58836424069425,36.03172792554411
25331,11/01/17,Trash - Curbside/Alley Missed Pickup,"Trash missed Tuesday again, ALLEY",1206 Ireland St,37208.0,METRO,9208,19.0,1733029.47415848,668762.640891357,-86.79774502782097,36.167916243049184
